,short_name,long_name,age,club,overall,potential,defending,physic
362,Gelson Fernandes,Gélson da Conceição Tavares Fernandes,32,Eintracht Frankfurt,77,77,77,80
363,Paulo Oliveira,Paulo André Rodrigues Oliveira,27,SD Eibar,76,77,76,75
364,A. Duncan,Joseph Alfred Duncan,26,Sassuolo,75,77,76,76
365,T. Rincón,Tomás Eduardo Rincón Hernández,31,Torino,77,77,76,80
366,J. Kucka,Juraj Kucka,32,Parma,77,77,77,88
367,A. Dragović,Aleksandar Dragović,28,Bayer 04 Leverkusen,77,77,77,75
368,Iván Ramis,Iván Ramis Barrios,34,SD Eibar,77,77,77,81
369,T. Kolodziejczak,Timothée Kolodziejczak,27,Tigres U.A.N.L.,76,77,76,79
370,M. Suchý,Marek Suchý,31,FC Augsburg,77,77,76,78
371,Marçal,Fernando Marçal de Oliveira,30,Olympique Lyonnais,77,77,76,75
372,Arbilla,Anaitz Arbilla Zabala,32,SD Eibar,77,77,75,76
373,M. Schneiderlin,Morgan Schneiderlin,29,Everton,77,77,75,76
374,P. Aguilar,Pablo Aguilar,32,Cruz Azul,77,77,77,78
375,Vieirundinho,Danilo Manuel Vieira Espíndola,31,Santos,77,77,78,83
376,P. Jansson,Pontus Jansson,28,Brentford,76,77,76,79
377,J. Palomino,José Luis Palomino,29,Atalanta,77,77,78,80
378,M. Jørgensen,Mathias Jørgensen,29,Fenerbahçe SK,76,77,75,80
379,D. Chygrynskyi,Dmytro Chygrynskyi,32,AEK Athens,76,76,76,75
380,T. Kádár,Tamás Kádár,29,Dynamo Kyiv,75,76,76,79
381,S. Kryvtsov,Sergiy Kryvtsov,28,Shakhtar Donetsk,75,76,75,79
382,K. Papadopoulos,Kyriakos Papadopoulos,27,Hamburger SV,76,76,76,78
383,M. Fellaini,Marouane Fellaini-Bakkioui,31,Shandong Luneng TaiShan FC,76,76,76,88
384,S. Bocchetti,Salvatore Bocchetti,32,Hellas Verona,76,76,76,79
385,D. Dessoleil,Dorian Dessoleil,26,Sporting de Charleroi,74,76,75,76
386,S. Dewaest,Sébastien Dewaest,28,KRC Genk,75,76,75,81
387,Mexer,Edson André Sitoe,30,FC Girondins de Bordeaux,76,76,75,77
388,Juli Freitinho,Julio Leonardo Dourado de Freitas,31,Bahia,76,76,75,79
389,Rafael Cachoira,Rafael Jorgino Cachoira Rebelo,31,Fortaleza,76,76,77,76
390,J. Cork,Jack Cork,30,Burnley,76,76,76,80
391,Juan Jesus,Juan Guilherme Nunes Jesus,28,Roma,76,76,76,78
392,N. Viergever,Nick Viergever,29,PSV,76,76,75,77
393,Davi Parrela,Davi Alexandre Parrela Ferreira,31,Avaí FC,76,76,76,78
394,Kiko Olivas,Francisco José Olivas Alba,30,Real Valladolid CF,76,76,76,78
395,O. Duarte,Óscar Duarte,30,Levante UD,76,76,77,75
396,C. Kouyaté,Cheikhou Kouyaté,29,Crystal Palace,76,76,76,85
397,M. Lang,Michael Lang,28,Borussia Mönchengladbach,76,76,76,78
398,S. Mitrović,Stefan Mitrović,29,RC Strasbourg Alsace,75,76,77,77
399,Eltildo Correia,Eltildo Lucas Correia Pitta,27,Atlético Mineiro,76,76,76,79
400,Y. Abdelhamid,Yunis Abdelhamid,31,Stade de Reims,76,76,76,78
401,M. van der Hoorn,Mike van der Hoorn,26,Swansea City,73,76,75,77
402,M. Schmelzer,Marcel Schmelzer,31,Borussia Dortmund,76,76,76,76
403,C. Schindler,Christopher Schindler,29,Huddersfield Town,76,76,77,75
404,A. Hegazi,Ahmed Hegazi,28,West Bromwich Albion,75,76,75,80
405,J. Maidana,Jonathan Ramón Maidana,33,Deportivo Toluca,76,76,75,80
406,S. Bamba,Souleymane Bamba,34,Cardiff City,76,76,76,79
407,D. Amartey,Daniel Amartey,24,Leicester City,73,76,75,76
408,A. Hutchinson,Atiba Hutchinson,36,Beşiktaş JK,76,76,75,75
409,V. Vasin,Viktor Vasin,30,PFC CSKA Moscow,75,75,75,78
410,Eric Botteghin,Eric Fernando Botteghin,31,Feyenoord,75,75,75,82
411,M. Gonalons,Maxime Gonalons,30,Roma,75,75,75,75
412,João Aurélio,João Miguel Coimbra Aurélio,30,Moreirense FC,75,75,75,75
413,Zainadine,Zainadine Chavango Júnior,31,Clube Sport Marítimo,75,75,75,76
414,A. Ioniță,Artur Ioniță,28,Cagliari,75,75,75,78
415,H. Behrens,Hanno Behrens,29,1. FC Nürnberg,75,75,75,81
416,B. Bianchi,Bruno Bianchi,30,Atlético Tucumán,75,75,76,75
417,H. Nordtveit,Håvard Nordtveit,29,TSG 1899 Hoffenheim,75,75,75,75
418,T. Chandler,Timothy Chandler,29,Eintracht Frankfurt,75,75,75,79
419,L. De Silvestri,Lorenzo De Silvestri,31,Torino,75,75,76,75
420,Postigo,Sergio Postigo Redondo,30,Levante UD,75,75,76,76
421,S. Bell,Stefan Bell,27,1. FSV Mainz 05,74,75,76,75
422,A. Romao,Jacques-Alaixys Romao,35,Stade de Reims,75,75,75,79
423,C. Dawson,Craig Dawson,29,Watford,75,75,75,77
424,D. Le Tallec,Damien Vincent Denis Le Tallec,29,Montpellier HSC,75,75,76,75
425,Manuel da Costa,Manuel Marouan da Costa Trinidade,33,Al Ittihad,75,75,75,80
426,D. Congré,Daniel Congré,34,Montpellier HSC,75,75,76,75
427,J. Hogg,Jonathan Hogg,30,Huddersfield Town,75,75,75,79
428,A. Epureanu,Alexandru Epureanu,32,Medipol Başakşehir FK,75,75,77,75
